location_id,longitude,latitude,vs30_m_s,vs30_status,direct_status,raster_row,raster_column,fallback_distance_m,source_raster,source_raster_md5
93,32.50762652428348,36.60317877047308,600.7100219726562,direct,valid,3850,2886,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
94,32.7228056330013,36.5501384806426,477.60992431640625,direct,valid,3849,2966,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
95,32.93771151847763,36.49660708378374,452.2033996582031,direct,valid,3848,3047,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
96,33.15234264676957,36.44258555295679,437.01025390625,direct,valid,3846,3127,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
97,33.3666975122209,36.3880748652767,445.5190734863281,direct,valid,3845,3208,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
98,33.58077463747566,36.333076001786004,438.61126708984375,direct,valid,3843,3289,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
99,33.79457257348715,36.27758994732781,600.7100219726562,direct,valid,3841,3370,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
100,27.311358958073384,37.902698960976565,576.5399780273438,direct,valid,3800,958,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
101,27.533090738537283,37.86160098201426,281.0589294433594,direct,valid,3799,1038,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
102,27.754591895620326,37.819988755567046,270.25408935546875,direct,valid,3798,1118,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
103,27.97586021327398,37.77786312903646,576.5399780273438,direct,valid,3797,1198,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
104,28.196893502245825,37.73522495698334,576.5399780273438,direct,valid,3796,1278,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
105,28.417689600223373,37.69207510100223,436.43243408203125,direct,valid,3795,1357,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
106,28.63824637197186,37.64841442959521,576.5399780273438,direct,valid,3794,1437,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
107,28.858561709466297,37.60424381804533,569.6908569335938,direct,valid,3793,1517,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
108,29.078633532017594,37.55956414828963,600.7100219726562,direct,valid,3792,1597,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
109,29.298459786392918,37.514376308791824,435.0263671875,direct,valid,3790,1677,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
110,29.518038446930202,37.46868119441452,600.6312255859375,direct,valid,3789,1757,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
111,29.73736751564691,37.42247970629121,619.1500244140625,direct,valid,3788,1837,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
112,29.95644502234311,37.375772751697994,343.9871520996094,direct,valid,3787,1917,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
113,30.175269024698746,37.32856124392496,500.4632263183594,direct,valid,3786,1998,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
114,30.393837608365295,37.28084610214737,360.28070068359375,direct,valid,3784,2078,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
115,30.61214888705181,37.23262825129668,600.7100219726562,direct,valid,3783,2158,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
116,30.83020100260529,37.18390862193136,438.27587890625,direct,valid,3782,2238,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
117,31.04799212508556,37.13468815010759,600.7100219726562,direct,valid,3781,2318,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
118,31.265520452834593,37.084967777249794,469.3865661621094,direct,valid,3779,2399,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
119,31.482784212540363,37.03474845002119,600.7100219726562,direct,valid,3778,2479,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
120,31.699781659295276,36.984031120194174,562.3016967773438,direct,valid,3777,2559,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
121,31.9165110766492,36.93281674452075,600.7100219726562,direct,valid,3775,2640,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
122,32.13297077665716,36.88110628460294,546.1350708007812,direct,valid,3774,2720,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
123,32.349159099921756,36.82890070676327,600.7100219726562,direct,valid,3772,2801,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
124,32.56507441563034,36.77620098191515,600.7100219726562,direct,valid,3771,2881,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
125,32.78071512158697,36.723008085433555,494.1689147949219,direct,valid,3770,2962,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
126,32.996079644239344,36.669322997025645,448.04388427734375,direct,valid,3768,3043,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
127,33.21116643870045,36.61514670060163,455.1630554199219,direct,valid,3767,3123,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
128,33.42597398876547,36.5604801841457,416.2882385253906,direct,valid,3765,3204,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
129,33.64050080692341,36.505324439587206,455.5842590332031,direct,valid,3764,3285,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
130,33.85474543436418,36.449680462671985,463.2667236328125,direct,valid,3762,3365,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
131,34.06870644098047,36.39354925283403,159.4217529296875,direct,valid,3760,3446,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
132,26.465870423617304,38.23867275156919,374.97125244140625,direct,valid,3725,637,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
133,26.689043979858653,38.19952124103068,183.06588745117188,nearest_valid,nodata,3722,715,551.835807560281,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
134,26.911993520894757,38.15985078541257,600.7100219726562,direct,valid,3723,796,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
135,27.134716702455528,38.11966221191549,600.7100219726562,direct,valid,3722,876,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
136,27.357211206847527,38.07895635546921,509.70263671875,direct,valid,3721,955,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
137,27.579474743122603,38.03773405860727,576.5399780273438,direct,valid,3720,1035,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
138,27.801505047240376,37.99599617134094,576.5399780273438,direct,valid,3719,1115,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
139,28.023299882224773,37.953743551032694,576.5399780273438,direct,valid,3718,1195,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
140,28.244857038314468,37.910977062269,448.1893005371094,direct,valid,3717,1274,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
141,28.46617433310727,37.867697576732795,425.2621154785156,direct,valid,3716,1354,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
142,28.68724961169849,37.82390597307529,553.8218383789062,direct,valid,3714,1434,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
143,28.908080746813397,37.77960313678756,576.5399780273438,direct,valid,3713,1514,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
144,29.128665638933644,37.7347899600714,427.45977783203125,direct,valid,3712,1594,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
145,29.3490022164177,37.68946734171024,599.087646484375,direct,valid,3711,1674,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
146,29.569088435615473,37.64363618693926,619.1500244140625,direct,valid,3710,1754,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
147,29.788922280977005,37.59729740731551,479.0201721191406,direct,valid,3709,1834,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
148,30.008501765155213,37.550451920587655,535.82080078125,direct,valid,3708,1914,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
149,30.227824929102965,37.50310065056537,586.107666015625,direct,valid,3706,1994,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
150,30.44688984216426,37.455244526988686,600.7100219726562,direct,valid,3705,2074,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
151,30.665694602159682,37.406884485396986,600.7100219726562,direct,valid,3704,2154,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
152,30.884237335466146,37.35802146699796,600.7100219726562,direct,valid,3703,2234,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
153,31.10251619709097,37.30865641853633,600.7100219726562,direct,valid,3701,2315,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
154,31.32052937074031,37.25879029216251,600.7100219726562,direct,valid,3700,2395,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC
