location_id,longitude,latitude,easting_m,northing_m
311,33.12308572077475,36.3562669321184,6380000.0,1790000.0
312,33.23018489288456,36.329111358777396,6390000.0,1790000.0
313,33.3372151833479,36.30183375044616,6400000.0,1790000.0
314,33.44417640900896,36.27443422920198,6410000.0,1790000.0
315,33.55106838846921,36.24691291735921,6420000.0,1790000.0
316,33.657890942087576,36.21926993746528,6430000.0,1790000.0
317,27.265841880490992,37.72636735156866,5840000.0,1800000.0
318,27.376471986962354,37.70594422641563,5850000.0,1800000.0
319,27.48704535792401,37.685392768940616,5860000.0,1800000.0
320,27.597561716500778,37.66471308316595,5870000.0,1800000.0
321,27.708020787457276,37.643905273565125,5880000.0,1800000.0
322,27.818422297202652,37.622969445058956,5890000.0,1800000.0
323,27.928765973795194,37.601905703011674,5900000.0,1800000.0
324,28.03905154694681,37.5807141532271,5910000.0,1800000.0
325,28.1492787480275,37.559394901944735,5920000.0,1800000.0
326,28.259447310069667,37.53794805583596,5930000.0,1800000.0
327,28.369556967772358,37.516373722000075,5940000.0,1800000.0
328,28.479607457505434,37.49467200796044,5950000.0,1800000.0
329,28.589598517313622,37.47284302166057,5960000.0,1800000.0
330,28.69952988692052,37.450886871460234,5970000.0,1800000.0
331,28.809401307732443,37.42880366613154,5980000.0,1800000.0
332,28.91921252284226,37.40659351485502,5990000.0,1800000.0
333,29.02896327703308,37.38425652721572,6000000.0,1800000.0
334,29.138653316781895,37.36179281319926,6010000.0,1800000.0
335,29.248282390263093,37.33920248318786,6020000.0,1800000.0
336,29.357850247351898,37.31648564795649,6030000.0,1800000.0
337,29.467356639627766,37.29364241866886,6040000.0,1800000.0
338,29.576801320377594,37.27067290687348,6050000.0,1800000.0
339,29.686184044598946,37.247577224499736,6060000.0,1800000.0
340,29.79550456900314,37.2243554838539,6070000.0,1800000.0
341,29.904762652018224,37.20100779761518,6080000.0,1800000.0
342,30.01395805379195,37.177534278831786,6090000.0,1800000.0
343,30.123090536194542,37.15393504091692,6100000.0,1800000.0
344,30.23215986282152,37.13021019764481,6110000.0,1800000.0
345,30.34116579899628,37.10635986314674,6120000.0,1800000.0
346,30.45010811177271,37.08238415190715,6130000.0,1800000.0
347,30.558986569937684,37.0582831787595,6140000.0,1800000.0
348,30.667800944013447,37.03405705888245,6150000.0,1800000.0
349,30.776551006259982,37.00970590779576,6160000.0,1800000.0
350,30.885236530677137,36.98522984135636,6170000.0,1800000.0
351,30.99385729300692,36.96062897575434,6180000.0,1800000.0
352,31.102413070735434,36.93590342750902,6190000.0,1800000.0
353,31.21090364309496,36.911053313464876,6200000.0,1800000.0
354,31.319328791065768,36.88607875078757,6210000.0,1800000.0
355,31.427688297378037,36.860979856960014,6220000.0,1800000.0
356,31.535981946513484,36.835756749778334,6230000.0,1800000.0
357,31.644209524707083,36.810409547347874,6240000.0,1800000.0
358,31.752370819948617,36.784938368079196,6250000.0,1800000.0
359,31.86046562198417,36.75934333068417,6260000.0,1800000.0
360,31.968493722317522,36.733624554171826,6270000.0,1800000.0
361,32.076454914211475,36.70778215784453,6280000.0,1800000.0
362,32.184348992689145,36.681816261293875,6290000.0,1800000.0
363,32.29217575453506,36.655726984396765,6300000.0,1800000.0
364,32.39993499829631,36.62951444731132,6310000.0,1800000.0
365,32.50762652428348,36.60317877047308,6320000.0,1800000.0
366,32.615250134571674,36.57672007459079,6330000.0,1800000.0
367,32.7228056330013,36.5501384806426,6340000.0,1800000.0
368,32.83029282517886,36.523434109871964,6350000.0,1800000.0
369,32.93771151847763,36.49660708378374,6360000.0,1800000.0
370,33.04506152203831,36.469657524140125,6370000.0,1800000.0
371,33.15234264676957,36.44258555295679,6380000.0,1800000.0
372,33.25955470534848,36.41539129249879,6390000.0,1800000.0
373,33.3666975122209,36.3880748652767,6400000.0,1800000.0
374,33.473770883601844,36.36063639404257,6410000.0,1800000.0
375,33.58077463747566,36.333076001786004,6420000.0,1800000.0
376,33.68770859359627,36.30539381173015,6430000.0,1800000.0
377,33.79457257348715,36.27758994732781,6440000.0,1800000.0
378,27.288558722741097,37.81454243857842,5840000.0,1810000.0
379,27.399320849775037,37.794088605268165,5850000.0,1810000.0
380,27.510025921706557,37.773506272438695,5860000.0,1810000.0
381,27.620673660346974,37.75279554472182,5870000.0,1810000.0
382,27.731263789160188,37.73195652720255,5880000.0,1810000.0
383,27.841796033267393,37.71098932541519,5890000.0,1810000.0
384,27.95227011945169,37.68989404533951,5900000.0,1810000.0
385,28.06268577616259,37.66867079339687,5910000.0,1810000.0
386,28.173042733520504,37.64731967644624,5920000.0,1810000.0
387,28.283340723321057,37.625840801780335,5930000.0,1810000.0
388,28.393579479039307,37.60423427712175,5940000.0,1810000.0
389,28.503758735833998,37.582500210618974,5950000.0,1810000.0
390,28.61387823055153,37.56063871084245,5960000.0,1810000.0
391,28.72393770173002,37.53864988678071,5970000.0,1810000.0
392,28.83393688960315,37.51653384783634,5980000.0,1810000.0
393,28.94387553610401,37.49429070382218,5990000.0,1810000.0
394,29.053753384868763,37.471920564957166,6000000.0,1810000.0
395,29.16357018124029,37.44942354186257,6010000.0,1810000.0
