location_id,receiver_latitude,receiver_longitude,repi_km,analysed_pga_g,analysed_loss_ratio,global_cmt_pga_g,global_cmt_loss_ratio,pga_difference_g,loss_ratio_difference
101,39.68442816279457,29.11078803463584,873.215496917911,0.0009956115271481517,0.0,0.0009956621496582155,0.0,5.0622510063816004e-08,0.0
102,39.569720800102296,29.676736841292104,823.645193777061,0.0012784753766649794,0.0,0.0012785483999934177,0.0,7.302332843831319e-08,0.0
103,39.45174318095948,30.24093967598165,774.1266316992944,0.0012276136787771513,0.0,0.0012276930875632485,0.0,7.940878609725456e-08,0.0
104,39.33051136223099,30.80336193028008,724.6753893421308,0.0013545642974922634,0.0,0.0013546642778766245,0.0,9.99803843610824e-08,0.0
105,39.2060416599246,31.36397029074492,675.3118462247756,0.0017299289851734822,0.0,0.0017300759079556416,0.0,1.4692278215940914e-07,0.0
106,39.078350634223085,31.92273274688748,626.0630546236332,0.0019129616049930853,0.0,0.0019131506246032784,0.0,1.8901961019307523e-07,0.0
107,38.94745507450225,32.479618597422046,576.9655471666849,0.001989956494288604,0.0,0.0019901880918384253,0.0,2.3159754982109843e-07,0.0
108,38.81337198435645,33.034598454831034,528.0696647159377,0.002701220346865856,0.0,0.0027015948024973974,0.0,3.744556315412109e-07,0.0
109,38.67611856665329,33.587644248287745,479.446436759305,0.0033522006187032024,0.0,0.003352762679709954,0.0,5.620610067516921e-07,0.0
110,38.53571220863781,34.13872922498166,431.19890699912327,0.00284974553496559,0.0,0.002850339156900947,0.0,5.936219353570686e-07,0.0
111,38.392170467105785,34.687827949893595,383.48151951286593,0.004245080291035086,0.0,0.0042461945362658494,0.0,1.1142452307636233e-06,0.0
112,38.24551105366531,35.234916304070964,336.5347736237446,0.005279191357506841,0.0,0.005280986883651002,0.0,1.7955261441609735e-06,0.0
113,38.09575182010447,35.779971481455135,290.7501167739054,0.005187724758728751,0.0,0.005190097690110149,0.0,2.3729313813978387e-06,0.0
114,37.94291074388236,36.32297198431528,246.79702874148447,0.006731616487395717,0.0,0.006735884483837009,0.0,4.267996441291964e-06,0.0
115,37.787005913759856,36.86389761734446,205.8791468959175,0.00958201947017836,0.0,0.009590717405489245,0.0,8.697935310884516e-06,0.0
116,37.628055515585366,37.40272948047536,170.2336500179644,0.01274499829208574,0.0,0.012761861463448237,0.0,1.686317136249775e-05,0.0
117,37.46607781825019,37.93944996047414,143.8766346494802,0.016401963673018844,0.0,0.0164322143516299,0.0,3.0250678611055265e-05,0.0
118,37.30109115982695,38.4740427213721,132.5197052976767,0.018611527900666842,0.0,0.018651872204732155,0.0,4.034430406531231e-05,0.0
119,37.13311393390367,39.006492693795046,139.91111085605667,0.019432063976327036,0.0,0.019469401628910667,0.0,3.7337652583631364e-05,0.0
120,36.96216457612552,39.5367860632515,163.56796976583263,0.014080626559516272,0.0,0.014100744500435474,0.0,2.011794091920198e-05,0.0
121,40.64903459878373,26.371447394800388,1118.2736599165403,0.0008205999255769538,0.0,0.0008206253601454528,0.0,2.5434568498984393e-08,0.0
122,40.3421823053369,28.100104579748663,968.5375492915593,0.00087898812966656,0.0,0.0008790244588535918,0.0,3.63291870318248e-08,0.0
123,40.23319904164602,28.67301389143944,918.6108740022612,0.0010706478952749918,0.0,0.0010706970685239999,0.0,4.9173249008034256e-08,0.0
