comparison_source,metric,epicentral_distance_km,kernel_bandwidth_km,pairs_within_200_km,effective_pair_count,systematic_mean_signed_change,empirical_standard_deviation,weighted_negative_percent,weighted_unchanged_percent,weighted_positive_percent
global_cmt,loss_ratio,76.0,15.0,1480,320.3737953421887,-5.0343114523134145e-08,3.9784489523899454e-05,0.10635422548099796,99.47297410033016,0.42067167418884605
global_cmt,loss_ratio,77.0,15.0,1480,324.6067109326007,-3.838391416844443e-08,3.4458884380031936e-05,0.09018517601771328,99.48236451640909,0.4274503075731838
global_cmt,loss_ratio,78.0,15.0,1480,328.59767041773017,-2.9137801230941308e-08,2.9787850518900054e-05,0.0761301625754366,99.49121510085992,0.43265473656466397
global_cmt,loss_ratio,79.0,15.0,1480,332.34297335586245,-2.20214639673797e-08,2.5699376013417718e-05,0.06397585410036682,99.49989026343621,0.436133882463412
global_cmt,loss_ratio,80.0,15.0,1480,335.84939864091734,-1.656920872576737e-08,2.2128344768055114e-05,0.053519873240237964,99.50870207587687,0.43777805088290445
global_cmt,loss_ratio,81.0,15.0,1480,339.13373749251525,-1.2410996750152152e-08,1.901595307472474e-05,0.04457184508573894,99.51790877502621,0.4375193798880453
global_cmt,loss_ratio,82.0,15.0,1480,342.2216511285952,-9.254232436623411e-09,1.630918127622707e-05,0.036954226274543235,99.5277146555619,0.43533111816354764
global_cmt,loss_ratio,83.0,15.0,1480,345.1459855337526,-6.8687181557475616e-09,1.3960312648379752e-05,0.030502885912099643,99.53827132539448,0.43122578869344413
global_cmt,loss_ratio,84.0,15.0,1480,347.9447245496495,-5.074277226147384e-09,1.1926492534256555e-05,0.02506742459167325,99.54968021941289,0.42525235599543737
global_cmt,loss_ratio,85.0,15.0,1480,350.6587811858125,-3.730619495426272e-09,1.0169321806446005e-05,0.02051123260046828,99.56199620365787,0.41749256374167115
global_cmt,loss_ratio,86.0,15.0,1480,353.3298169260882,-2.729085693205275e-09,8.654479814247769e-06,0.016711301842571188,99.57523205647264,0.4080566416847875
global_cmt,loss_ratio,87.0,15.0,1480,355.998246674382,-1.9859593388112732e-09,7.351373018023691e-06,0.013557817065996434,99.58936358752472,0.3970785954092864
global_cmt,loss_ratio,88.0,15.0,1480,358.70154239521855,-1.4370802064131828e-09,6.232806462247513e-06,0.010953560016816298,99.6043351492936,0.3847112906895926
global_cmt,loss_ratio,89.0,15.0,1480,361.47290100327075,-1.0335325040212234e-09,5.27467604982884e-06,0.00881316493191195,99.62006530628386,0.37112152878422994
global_cmt,loss_ratio,90.0,15.0,1480,364.34029913634157,-7.382150204331093e-10,4.455680229801281e-06,0.007062265458409301,99.63645245118263,0.3564852833589634
global_cmt,loss_ratio,91.0,15.0,1480,367.3259236064856,-5.23130284590288e-10,3.7570501930422047e-06,0.005636572062869336,99.65338019018036,0.3409832377567576
global_cmt,loss_ratio,92.0,15.0,1480,370.4459431125625,-3.6725581526418443e-10,3.1622979955808493e-06,0.004480915848719374,99.67072235747011,0.32479672668117276
global_cmt,loss_ratio,93.0,15.0,1480,373.7105735023269,-2.5488322800053444e-10,2.6569822160565018e-06,0.003548290087558752,99.68834755776243,0.30810415215002157
global_cmt,loss_ratio,94.0,15.0,1480,377.1243834507414,-1.7433063631120206e-10,2.228490829020876e-06,0.0027989153239464967,99.7061231724989,0.29107791217713375
global_cmt,loss_ratio,95.0,15.0,1480,380.6867873662802,-1.1695071214340954e-10,1.8658409673218256e-06,0.0021993481915000977,99.72391879819476,0.2738818536137446
global_cmt,loss_ratio,96.0,15.0,1480,384.3926753130864,-7.637121053914694e-11,1.5594951821503299e-06,0.0017216485247436612,99.74160911274124,0.25666923873400915
global_cmt,loss_ratio,97.0,15.0,1480,388.23313394784134,-4.791696015147979e-11,1.3011937127781573e-06,0.0013426142844123726,99.75907618705804,0.23958119865754968
global_cmt,loss_ratio,98.0,15.0,1480,392.19621679304305,-2.817251665902597e-11,1.083802169492942e-06,0.0010430894313083216,99.77621127529882,0.22274563526987706
