event_id,depth_source,catalogue_label,source_depth_km,maximum_pga_g,maximum_structural_loss_ratio,maximum_structural_loss_percent
2273,global_cmt,gCMT,52.0,0.010219884998025,0.0,0.0
2274,global_cmt,gCMT,27.0,0.001210038714315,0.0,0.0
2277,global_cmt,gCMT,94.0,0.0027025434760989,0.0,0.0
2280,global_cmt,gCMT,127.0,0.0028872366321271,0.0,0.0
2281,global_cmt,gCMT,58.0,0.0044869007187437,0.0,0.0
2282,global_cmt,gCMT,90.0,0.0061276614882394,0.0,0.0
2286,global_cmt,gCMT,41.0,0.0127691205921068,0.0,0.0
2287,global_cmt,gCMT,85.0,0.0059107267504862,0.0,0.0
2289,global_cmt,gCMT,59.0,0.0081902729130015,0.0,0.0
2290,global_cmt,gCMT,33.0,0.0027864977288743,0.0,0.0
2291,global_cmt,gCMT,151.0,0.0015883395044797,0.0,0.0
2292,global_cmt,gCMT,110.0,0.0005620601088781,0.0,0.0
2294,global_cmt,gCMT,33.0,0.0009775151382419,0.0,0.0
2299,global_cmt,gCMT,59.0,0.0006902296404996,0.0,0.0
2303,global_cmt,gCMT,33.0,0.0090899792228563,0.0,0.0
2304,global_cmt,gCMT,15.0,0.0009628696196168,0.0,0.0
2307,global_cmt,gCMT,25.0,0.0005701860770171,0.0,0.0
648,global_cmt,gCMT,15.0,0.1263588555109371,1e-08,1e-06
710,global_cmt,gCMT,10.0,0.0260985504048073,0.0,0.0
751,global_cmt,gCMT,65.0,0.0011847060073108,0.0,0.0
774,global_cmt,gCMT,15.0,0.0694738914507883,1e-08,1e-06
781,global_cmt,gCMT,11.0,0.1501370612012378,1e-08,1e-06
797,global_cmt,gCMT,10.0,0.0082028091310048,0.0,0.0
842,global_cmt,gCMT,43.0,0.0016569134548031,0.0,0.0
856,global_cmt,gCMT,15.0,0.0051822601107726,0.0,0.0
860,global_cmt,gCMT,15.0,0.1093261164403131,1e-08,1e-06
861,global_cmt,gCMT,15.0,0.0166143435415937,0.0,0.0
862,global_cmt,gCMT,15.0,0.0790213706794275,1e-08,1e-06
876,global_cmt,gCMT,15.0,0.1362803469183744,1e-08,1e-06
914,global_cmt,gCMT,15.0,0.0635868251655461,1e-08,1e-06
921,global_cmt,gCMT,15.0,0.0564034521841678,1e-08,1e-06
922,global_cmt,gCMT,15.0,0.0414996908643311,0.0,0.0
971,global_cmt,gCMT,33.0,0.0009457266512181,0.0,0.0
973,global_cmt,gCMT,15.0,0.0353096762373442,0.0,0.0
986,global_cmt,gCMT,17.6,0.0134352327860981,0.0,0.0
990,global_cmt,gCMT,15.0,0.001338407149771,0.0,0.0
995,global_cmt,gCMT,22.0,0.0180537635307786,0.0,0.0
996,global_cmt,gCMT,15.0,0.0043223065102728,0.0,0.0
998,global_cmt,gCMT,15.0,0.001910778290224,0.0,0.0
