location_id,longitude,latitude,vs30_model_9arcsec_m_s,vs30_model_9arcsec_status,vs30_model_9arcsec_fallback_distance_m,vs30_model_source_raster,vs30_model_source_raster_md5,vs30_3arcsec_m_s,vs30_3arcsec_status,vs30_3arcsec_direct_status,vs30_3arcsec_raster_row,vs30_3arcsec_raster_column,vs30_3arcsec_fallback_distance_m,vs30_3arcsec_source_raster,vs30_3arcsec_source_raster_md5,vs30_3arcsec_minus_model_m_s,vs30_absolute_difference_m_s,vs30_percent_difference
43,29.28096746915477,38.25997662378592,453.71917724609375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,453.78265380859375,direct,valid,10128,4752,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0634765625,0.0634765625,0.013990275413368919
44,29.83519859074117,38.14468386993303,530.4912719726562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,533.5128784179688,direct,valid,10119,5431,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,3.0216064453125,3.0216064453125,0.5695864578650874
45,30.387792566174863,38.02619771865637,511.5866394042969,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,512.3675537109375,direct,valid,10109,6110,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.780914306640625,0.780914306640625,0.1526455631347096
46,30.93871810893301,37.90453313269919,600.7100219726562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.7100219726562,direct,valid,10098,6790,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
47,31.48794509554942,37.77970530639941,174.0323028564453,nearest_valid,5324.282150709412,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,180.18142700195312,nearest_valid,nodata,10052,7411,5211.464741296654,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,6.1491241455078125,6.1491241455078125,3.533323437419583
48,32.03544457273861,37.65172965229903,483.4779052734375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,479.65362548828125,direct,valid,10076,8152,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-3.82427978515625,3.82427978515625,-0.7909937028028978
49,32.581188763067985,37.52062178773912,600.7100219726562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.7100219726562,direct,valid,10064,8834,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
50,33.125151069209814,37.38639752145882,537.5999755859375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,537.5999755859375,direct,valid,10052,9517,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
51,33.66730607680735,37.24907284021617,406.625,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,407.2650451660156,direct,valid,10039,10201,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.640045166015625,0.640045166015625,0.15740428306563173
52,34.20762955599211,37.108663895448274,413.3904724121094,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,410.68609619140625,direct,valid,10026,10886,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-2.704376220703125,2.704376220703125,-0.654194133919741
53,34.74609846159084,36.96518698998718,435.5585021972656,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,433.2818908691406,direct,valid,10013,11571,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-2.276611328125,2.276611328125,-0.522687840241933
54,35.28269093206378,36.81865856484759,254.17575073242188,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,254.2814178466797,direct,valid,9999,12258,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.1056671142578125,0.1056671142578125,0.041572460769104334
55,36.3501650247302,36.51651353185552,574.7426147460938,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,618.614013671875,direct,valid,9970,13633,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,43.87139892578125,43.87139892578125,7.633225342993313
56,27.16429886150565,39.12932169354253,537.5999755859375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,537.5999755859375,direct,valid,9491,2021,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
57,27.728192482780084,39.02615285189753,457.6072692871094,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,457.75299072265625,direct,valid,9483,2696,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.145721435546875,0.145721435546875,0.03184421343959186
58,28.290542362066432,38.91971166128295,450.2194519042969,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,450.2488098144531,direct,valid,9475,3372,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.02935791015625,0.02935791015625,0.006520800030312909
59,28.851311815912176,38.810012439872,438.607421875,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,442.70013427734375,direct,valid,9466,4048,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,4.09271240234375,4.09271240234375,0.933115172754679
60,29.41046532512941,38.69706979675155,448.17181396484375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,447.7154235839844,direct,valid,9456,4725,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-0.456390380859375,0.456390380859375,-0.10183379825291199
61,29.96796854805596,38.580898618260015,447.7120666503906,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,480.494140625,direct,valid,9447,5403,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,32.782073974609375,32.782073974609375,7.322133222781382
62,30.52378833218374,38.46151405423436,537.5999755859375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,537.5999755859375,direct,valid,9437,6081,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
63,31.07789272417605,38.33893150418781,425.9591369628906,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,422.1670227050781,direct,valid,9426,6760,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-3.7921142578125,3.7921142578125,-0.8902530615613646
64,31.63025097829894,38.21316660343932,357.7516784667969,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,349.84417724609375,direct,valid,9415,7440,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-7.907501220703125,7.907501220703125,-2.2103323888212096
65,32.180833563295366,38.08423520921518,576.5399780273438,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,576.5399780273438,direct,valid,9404,8120,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
66,32.729612167733904,37.95215338674287,352.16064453125,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,353.25726318359375,direct,valid,9393,8802,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,1.09661865234375,1.09661865234375,0.3113972754688204
67,33.27655970386688,37.816937395356426,412.3872375488281,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,412.707763671875,direct,valid,9381,9484,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.320526123046875,0.320526123046875,0.07772454961313481
68,33.821650310035366,37.67860367463222,351.2305908203125,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,347.5035400390625,direct,valid,9368,10167,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-3.72705078125,3.72705078125,-1.0611407088845337
69,34.36485935166117,37.53716883057294,433.042724609375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,428.799072265625,direct,valid,9355,10850,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-4.24365234375,4.24365234375,-0.9799615840626291
70,34.90616342086814,37.39264962185748,600.1805419921875,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.7100219726562,direct,valid,9342,11535,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.52947998046875,0.52947998046875,0.08822011768512852
71,35.445540334777355,37.24506294617298,435.8032836914063,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,434.94927978515625,direct,valid,9328,12220,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-0.8540039062500568,0.8540039062500568,-0.19596087000913462
72,35.982969132522314,37.09442582664533,264.1910400390625,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,263.48321533203125,direct,valid,9314,12907,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-0.70782470703125,0.70782470703125,-0.2679215415203306
73,36.51843007103232,36.94075539838291,600.6758422851562,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.0094604492188,direct,valid,9299,13594,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,-0.6663818359375,0.6663818359375,-0.11093867757397699
74,37.05190461963332,36.78406889514814,597.0223999023438,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,600.7100219726562,direct,valid,9284,14282,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,3.6876220703125,3.6876220703125,0.6176689636629534
75,26.71349486296508,39.66994047687324,576.5399780273438,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,576.5399780273438,direct,valid,8828,1324,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
76,27.282445186661697,39.569271083172126,537.5999755859375,direct,,TRVs30GeoM_9Arcsec.tif,B66C0EC63B18E8FC8DBFD4E41201F4AC,537.5999755859375,direct,valid,8820,1998,,TRVs30GeoM_3Arcsec.tif,C0F54FC735ABBEA202C7C6A44E590D82,0.0,0.0,0.0
