receiver_id,latitude,longitude,vs30_3arcsec,direct_cell_status_3arcsec,direct_3arcsec,fallback_3arcsec,fallback_distance_3arcsec_m,vs30_9arcsec,direct_cell_status_9arcsec,direct_9arcsec,fallback_9arcsec,fallback_distance_9arcsec_m,fallback_category
48,37.65172965229903,32.03544457273861,479.65362548828125,valid,True,False,,483.4779052734375,valid,True,False,,neither
49,37.52062178773912,32.581188763067985,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
50,37.38639752145882,33.125151069209814,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
51,37.24907284021617,33.66730607680735,407.2650451660156,valid,True,False,,406.625,valid,True,False,,neither
52,37.108663895448274,34.20762955599211,410.68609619140625,valid,True,False,,413.3904724121094,valid,True,False,,neither
53,36.96518698998718,34.74609846159084,433.2818908691406,valid,True,False,,435.5585021972656,valid,True,False,,neither
54,36.81865856484759,35.28269093206378,254.2814178466797,valid,True,False,,254.17575073242188,valid,True,False,,neither
55,36.51651353185552,36.3501650247302,618.614013671875,valid,True,False,,574.7426147460938,valid,True,False,,neither
56,39.12932169354253,27.16429886150565,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
57,39.02615285189753,27.728192482780084,457.75299072265625,valid,True,False,,457.6072692871094,valid,True,False,,neither
58,38.91971166128295,28.290542362066432,450.2488098144531,valid,True,False,,450.2194519042969,valid,True,False,,neither
59,38.810012439872,28.851311815912176,442.70013427734375,valid,True,False,,438.607421875,valid,True,False,,neither
60,38.69706979675155,29.41046532512941,447.7154235839844,valid,True,False,,448.17181396484375,valid,True,False,,neither
61,38.580898618260015,29.96796854805596,480.494140625,valid,True,False,,447.7120666503906,valid,True,False,,neither
62,38.46151405423436,30.52378833218374,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
63,38.33893150418781,31.07789272417605,422.1670227050781,valid,True,False,,425.9591369628906,valid,True,False,,neither
64,38.21316660343932,31.63025097829894,349.84417724609375,valid,True,False,,357.7516784667969,valid,True,False,,neither
65,38.08423520921518,32.180833563295366,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
66,37.95215338674287,32.729612167733904,353.25726318359375,valid,True,False,,352.16064453125,valid,True,False,,neither
67,37.816937395356426,33.27655970386688,412.707763671875,valid,True,False,,412.3872375488281,valid,True,False,,neither
68,37.67860367463222,33.821650310035366,347.5035400390625,valid,True,False,,351.2305908203125,valid,True,False,,neither
69,37.53716883057294,34.36485935166117,428.799072265625,valid,True,False,,433.042724609375,valid,True,False,,neither
70,37.39264962185748,34.90616342086814,600.7100219726562,valid,True,False,,600.1805419921875,valid,True,False,,neither
71,37.24506294617298,35.445540334777355,434.94927978515625,valid,True,False,,435.80328369140625,valid,True,False,,neither
72,37.09442582664533,35.982969132522314,263.48321533203125,valid,True,False,,264.1910400390625,valid,True,False,,neither
73,36.94075539838291,36.51843007103232,600.0094604492188,valid,True,False,,600.6758422851562,valid,True,False,,neither
74,36.78406889514814,37.05190461963332,600.7100219726562,valid,True,False,,597.0223999023438,valid,True,False,,neither
75,39.66994047687324,26.71349486296508,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
76,39.569271083172126,27.282445186661697,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
77,39.46529288763372,27.849845891918065,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
78,39.3580203257534,28.41565823577763,599.4104614257812,valid,True,False,,595.5006103515625,valid,True,False,,neither
79,39.24746814441138,28.979844671420302,156.3563995361328,outside_model_range,False,True,141.6807200464851,295.7789306640625,outside_model_range,False,True,270.33295009106126,both
80,39.13365138777182,29.5423688632149,414.6470947265625,valid,True,False,,418.7412414550781,valid,True,False,,neither
81,39.01658538307148,30.10319570002948,415.0216369628906,valid,True,False,,421.0323486328125,valid,True,False,,neither
82,38.89628572632051,30.66229130681988,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
83,38.772768267938105,31.21962305452092,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
84,38.64604909834551,31.77515956826793,574.7212524414062,valid,True,False,,574.7212524414062,valid,True,False,,neither
85,38.51614453353741,32.32887073398079,396.0218505859375,valid,True,False,,400.47369384765625,valid,True,False,,neither
86,38.38307110065308,32.88072770334502,334.7865905761719,valid,True,False,,334.04925537109375,valid,True,False,,neither
87,38.24684552356719,33.43070289722835,406.149658203125,valid,True,False,,403.3796691894531,valid,True,False,,neither
88,38.107484708520346,33.97877000757363,423.68218994140625,valid,True,False,,426.2925109863281,valid,True,False,,neither
89,37.96500572980777,34.52490399781175,537.176025390625,valid,True,False,,535.904052734375,valid,True,False,,neither
90,37.81942581554456,35.06908110184059,519.1831665039062,valid,True,False,,519.6965942382812,valid,True,False,,neither
91,37.67076233352466,35.611278821618285,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
92,37.51903277719032,36.15147592342068,463.8275146484375,valid,True,False,,463.2667541503906,valid,True,False,,neither
93,37.36425475172738,36.68965243281496,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
94,37.20644596030164,37.22578962840265,489.0403747558594,valid,True,False,,488.2951354980469,valid,True,False,,neither
95,37.04562419045001,37.75987003438628,472.8306579589844,valid,True,False,,478.5408935546875,valid,True,False,,neither
96,36.71501320700875,38.821796749967135,345.7132873535156,valid,True,False,,346.2952880859375,valid,True,False,,neither
97,40.11024381602152,26.830269986054727,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
98,40.00877234376844,27.40283107497407,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
99,39.903969276608166,27.97379735386537,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
100,39.795849486245295,28.543129149689825,599.8543701171875,valid,True,False,,600.7100219726562,valid,True,False,,neither
101,39.68442816279457,29.11078803463584,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
102,39.569720800102296,29.676736841292104,420.2923889160156,valid,True,False,,419.533203125,valid,True,False,,neither
103,39.45174318095948,30.24093967598165,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
104,39.33051136223099,30.80336193028008,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
105,39.2060416599246,31.36397029074492,414.0511169433594,valid,True,False,,412.9768981933594,valid,True,False,,neither
106,39.078350634223085,31.92273274688748,426.03961181640625,valid,True,False,,425.2662658691406,valid,True,False,,neither
107,38.94745507450225,32.479618597422046,525.0450439453125,valid,True,False,,517.856689453125,valid,True,False,,neither
